,report_year,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,city,state,lat,lng,unemploymentRate
61,1976,132000.0,546.0,2.0,40.0,338.0,166.0,12.0,413.64,1.52,30.3,256.06,125.76,Aurora,CO,39.7083,-104.7237,7.699999999999999
62,1976,284908.0,1202.0,24.0,181.0,479.0,518.0,12.0,421.89,8.42,63.53,168.12,181.81,Austin,TX,30.3005,-97.7522,7.699999999999999
63,1976,860974.0,14191.0,200.0,460.0,5776.0,7755.0,12.0,1648.25,23.23,53.43,670.87,900.72,Baltimore,MD,39.3051,-76.6144,7.699999999999999
64,1976,619437.0,9888.0,81.0,392.0,3290.0,6125.0,12.0,1596.29,13.08,63.28,531.13,988.8,Boston,MA,42.3188,-71.0852,7.699999999999999
65,1976,425101.0,3091.0,54.0,202.0,898.0,1937.0,12.0,727.12,12.7,47.52,211.24,455.66,Buffalo,NY,42.9018,-78.8487,7.699999999999999
66,1976,274020.0,1895.0,52.0,84.0,1028.0,731.0,12.0,691.56,18.98,30.65,375.16,266.77,Charlotte,NC,35.2083,-80.8303,7.699999999999999
67,1976,3134499.0,30640.0,814.0,1179.0,11070.0,17577.0,12.0,977.51,25.97,37.61,353.17,560.76,Chicago,IL,41.8375,-87.6866,7.699999999999999
68,1976,427045.0,3461.0,56.0,263.0,1617.0,1525.0,12.0,810.45,13.11,61.59,378.65,357.11,Cincinnati,OH,39.1413,-84.506,7.699999999999999
69,1976,642298.0,8496.0,236.0,498.0,2309.0,5453.0,12.0,1322.75,36.74,77.53,359.49,848.98,Cleveland,OH,41.4764,-81.6805,7.699999999999999
70,1976,595500.0,3287.0,53.0,328.0,985.0,1921.0,12.0,551.97,8.9,55.08,165.41,322.59,Columbus,OH,39.9862,-82.9855,7.699999999999999
71,1976,888450.0,7244.0,230.0,591.0,3310.0,3113.0,12.0,815.35,25.89,66.52,372.56,350.39,Dallas,TX,32.7935,-96.7667,7.699999999999999
72,1976,523676.0,4107.0,86.0,383.0,1596.0,2042.0,12.0,784.26,16.42,73.14,304.77,389.94,Denver,CO,39.762,-104.8758,7.699999999999999
73,1976,1334100.0,29699.0,663.0,1230.0,6593.0,21213.0,12.0,2226.14,49.7,92.2,494.19,1590.06,Detroit,MI,42.3834,-83.1024,7.699999999999999
74,1976,361413.0,1573.0,25.0,118.0,638.0,792.0,12.0,435.24,6.92,32.65,176.53,219.14,El Paso,TX,31.8476,-106.43,7.699999999999999
75,1976,364302.0,1732.0,70.0,174.0,503.0,985.0,12.0,475.43,19.21,47.76,138.07,270.38,Fort Worth,TX,32.7817,-97.3474,7.699999999999999
76,1976,177900.0,1267.0,28.0,55.0,461.0,723.0,12.0,712.2,15.74,30.92,259.13,406.41,Fresno,CA,36.783,-119.7939,7.699999999999999
77,1976,718424.0,1696.0,40.0,164.0,380.0,1112.0,12.0,236.07,5.57,22.83,52.89,154.78,Honolulu,HI,21.3294,-157.846,7.699999999999999
78,1976,1477000.0,8045.0,321.0,690.0,1503.0,5531.0,12.0,544.69,21.73,46.72,101.76,374.48,Houston,TX,29.786,-95.3885,7.699999999999999
79,1976,494730.0,4144.0,68.0,347.0,1363.0,2366.0,12.0,837.63,13.74,70.14,275.5,478.24,Indianapolis,IN,39.7771,-86.1458,7.699999999999999
80,1976,543839.0,4443.0,90.0,279.0,2516.0,1558.0,12.0,816.97,16.55,51.3,462.64,286.48,Jacksonville,FL,30.3322,-81.6749,7.699999999999999
81,1976,488012.0,5578.0,95.0,350.0,2723.0,2410.0,12.0,1143.0,19.47,71.72,557.98,493.84,Kansas City,MO,39.1238,-94.5541,7.699999999999999
82,1976,265347.0,2473.0,35.0,151.0,1011.0,1276.0,12.0,931.99,13.19,56.91,381.01,480.88,Las Vegas,NV,36.2333,-115.2654,7.699999999999999
83,1976,340900.0,2950.0,69.0,200.0,978.0,1703.0,12.0,865.36,20.24,58.67,286.89,499.56,Long Beach,CA,33.7977,-118.167,7.699999999999999
84,1976,2739100.0,31960.0,501.0,2047.0,15187.0,14225.0,12.0,1166.81,18.29,74.73,554.45,519.33,Los Angeles,CA,34.1141,-118.4068,7.699999999999999
85,1976,649819.0,4780.0,113.0,472.0,1766.0,2429.0,12.0,735.59,17.39,72.64,271.77,373.8,Memphis,TN,35.1087,-89.9663,7.699999999999999
86,1976,100763.0,311.0,5.0,15.0,202.0,89.0,12.0,308.65,4.96,14.89,200.47,88.33,Mesa,AZ,33.4015,-111.7178,7.699999999999999
87,1976,338721.0,5172.0,84.0,145.0,2630.0,2313.0,12.0,1526.92,24.8,42.81,776.45,682.86,Miami,FL,25.784,-80.2101,7.699999999999999
88,1976,652517.0,2692.0,57.0,168.0,846.0,1621.0,12.0,412.56,8.74,25.75,129.65,248.42,Milwaukee,WI,43.0642,-87.9675,7.699999999999999
89,1976,397421.0,2954.0,27.0,300.0,1220.0,1407.0,12.0,743.29,6.79,75.49,306.98,354.03,Minneapolis,MN,44.9635,-93.2678,7.699999999999999
90,1976,445979.0,2831.0,74.0,129.0,906.0,1722.0,12.0,634.78,16.59,28.93,203.15,386.12,Nashville,TN,36.1715,-86.7842,7.699999999999999
91,1976,557327.0,4810.0,170.0,264.0,1776.0,2600.0,12.0,863.05,30.5,47.37,318.66,466.51,New Orleans,LA,30.0687,-89.9288,7.699999999999999
92,1976,367886.0,6565.0,99.0,323.0,2309.0,3834.0,12.0,1784.52,26.91,87.8,627.64,1042.17,Newark,NJ,40.7245,-74.1725,7.699999999999999
